timestamp,transaction_type,token,amount
1654333919,DEPOSIT,SHIB,0.29042397821800864
1654333919,WITHDRAWAL,CRO,0.19544706682335997
1654333919,DEPOSIT,DOGE,0.7994686780411233
1654333919,WITHDRAWAL,BUSD,0.11911476837042147
1654333919,DEPOSIT,USDC,0.3849041817765286
1654333919,WITHDRAWAL,SOL,0.12391984154551909
1654333919,WITHDRAWAL,DOGE,0.43485920355747393
1654333919,DEPOSIT,USDC,0.29210617822077767
1654333919,DEPOSIT,XRP,0.29045336416485723
1654333919,DEPOSIT,ADA,0.061790219361276
1654333919,DEPOSIT,SHIB,0.1456133233143705
1654333919,WITHDRAWAL,TRX,0.290682453753302
1654333919,WITHDRAWAL,ADA,0.627277897953476
1654333919,DEPOSIT,BTC,0.7691533418912024
1654333919,DEPOSIT,TRX,0.8490314930438524
1654333919,DEPOSIT,WBTC,0.8191910766585968
1654333919,WITHDRAWAL,USDC,0.894031907172358
1654333919,DEPOSIT,DOGE,0.24187097096550159
1654333919,WITHDRAWAL,ETH,0.8525846441937596
1654333919,WITHDRAWAL,TRX,0.7398958116215816
1654333919,DEPOSIT,WBTC,0.0876657440753454
1654333919,DEPOSIT,USDC,0.7710025135014069
1654333919,WITHDRAWAL,TRX,0.038321056324874904
1654333919,DEPOSIT,LEO,0.5048194381377087
1654333919,DEPOSIT,CRO,0.8633027443065507
1654333919,WITHDRAWAL,LTC,0.9040856941186601
1654333919,DEPOSIT,BUSD,0.4557163242146901
1654333919,DEPOSIT,SOL,0.2873114623830688
1654333919,WITHDRAWAL,LEO,0.17275885455562554
1654333919,DEPOSIT,LTC,0.7246361599438135
1654333919,DEPOSIT,CRO,0.1149586887901855
1654333919,DEPOSIT,DAI,0.9685453606397416
1654333919,DEPOSIT,DOT,0.554979811077469
1654333919,WITHDRAWAL,XRP,0.069119288902026
1654333919,DEPOSIT,WBTC,0.7592941957153861
1654333919,WITHDRAWAL,MATIC,0.694209594042028
1654333919,DEPOSIT,LEO,0.44152478090087943
1654333919,WITHDRAWAL,BNB,0.9788119091260161
1654333919,WITHDRAWAL,USDT,0.6082949319517958
1654333919,DEPOSIT,DOGE,0.10198659464427151
1654333919,WITHDRAWAL,DAI,0.008195808516818753
1654333919,DEPOSIT,WBTC,0.672387617434662
1654333919,WITHDRAWAL,SHIB,0.9221432104348346
1654333919,DEPOSIT,CRO,0.568919406828124
1654333919,DEPOSIT,SHIB,0.4309867256214548
1654333919,DEPOSIT,WBTC,0.7148375251047807
1654333919,WITHDRAWAL,LEO,0.2546511368199365
1654333919,DEPOSIT,CRO,0.3425223872198197
1654333919,WITHDRAWAL,DAI,0.6349209324311351
1654333919,DEPOSIT,BUSD,0.12305574430464351
1654333919,WITHDRAWAL,BTC,0.5255502711432225
1654333919,DEPOSIT,DAI,0.2549203387168338
1654333919,DEPOSIT,SOL,0.5646105370066364
1654333919,DEPOSIT,BUSD,0.7645983651296157
1654333919,WITHDRAWAL,BTC,0.5156472231237734
1654333919,WITHDRAWAL,USDT,0.0016769418939995913
1654333919,DEPOSIT,TRX,0.3720438795510319
1654333919,WITHDRAWAL,CRO,0.9285774677049442
1654333919,WITHDRAWAL,LTC,0.3258809850143255
1654333919,DEPOSIT,USDC,0.040882370857535585
1654333919,WITHDRAWAL,ETH,0.7900694777596518
1654333919,DEPOSIT,USDC,0.81954304193984
